dayofweek,bookinghour,item_status,Location,TotalBookings
Monday,1,CANCELLED_BY_PASSENGER,2.9207558101.6372214,1
Monday,11,CANCELLED_BY_PASSENGER,2.9242562101.635133,1
Monday,17,CANCELLED_BY_PASSENGER,2.9255701101.6367957,6
Monday,8,NO_TAKER,2.9863004101.6685188,1
Monday,19,CANCELLED_BY_PASSENGER,2.9954954101.4319083,1
Monday,7,CANCELLED_BY_PASSENGER,3.04142768212507101.773217342793,1
Monday,8,NO_TAKER,3.0711299101.5966792,1
Monday,9,CANCELLED_BY_PASSENGER,3.0927126101.6216493,1
Monday,14,CANCELLED_BY_PASSENGER,2.94971935475917101.657126910728,3
Monday,6,NO_TAKER,3.1108507101.438699,1
Monday,11,CANCELLED_BY_PASSENGER,2.8205503101.6907734,1
Monday,8,CANCELLED_BY_PASSENGER,3.0652016101.6155506,1
Monday,8,CANCELLED_BY_PASSENGER,3.2282392101.6530328,1
Monday,8,CANCELLED_BY_PASSENGER,2.9478239101.6709919,1
Monday,16,NO_TAKER,3.16301101.59913,1
Monday,8,CANCELLED_BY_PASSENGER,3.1665543101.5794781,1
Monday,17,CANCELLED_BY_PASSENGER,3.2175155101.7511034,1
Monday,9,CANCELLED_BY_PASSENGER,3.1145385101.6052593,1
Monday,17,NO_TAKER,2.9733898101.7392655,1
Monday,17,CANCELLED_BY_PASSENGER,3.0203869101.4395664,1
Monday,8,CANCELLED_BY_PASSENGER,3.2258745101.7115424,1
Monday,6,NO_TAKER,3.0661101101.6407553,1
Monday,17,CANCELLED_BY_PASSENGER,3.16301101.59913,1
Monday,8,CANCELLED_BY_PASSENGER,2.8662434101.6536359,1
Monday,17,CANCELLED_BY_PASSENGER,3.1333608451985779101.55375788193216,11
Monday,7,NO_TAKER,3.207317101.624516,1
Monday,7,CANCELLED_BY_PASSENGER,3.02384680597365101.572246380571,1
Monday,8,NO_TAKER,3.1618867101.7477875,1
Monday,12,CANCELLED_BY_PASSENGER,3.1117788787302807101.46023189486876,1
Monday,16,CANCELLED_BY_DRIVER,2.755162302889564101.7042388640315,1
Monday,19,CANCELLED_BY_PASSENGER,2.745312101.684867,7
Monday,11,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,7
Monday,7,NO_TAKER,3.098842101.5442651,1
Monday,23,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,87
Monday,3,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,32
Monday,11,NO_TAKER,2.9845255101.3369441,1
Thursday,12,CANCELLED_BY_PASSENGER,3.0779396101.5864466,1
Thursday,16,CANCELLED_BY_PASSENGER,3.0732742078838089101.60758137702942,5
Thursday,22,CANCELLED_BY_PASSENGER,3.0734121429733809101.60597741603851,8
Thursday,7,CANCELLED_BY_PASSENGER,2.9493856101.6646334,2
Thursday,9,CANCELLED_BY_PASSENGER,3.1092086101.5927411,2
Thursday,13,CANCELLED_BY_PASSENGER,3.1437336101.7709583,1
Thursday,22,CANCELLED_BY_PASSENGER,3.075507101.7611807,1
Thursday,23,CANCELLED_BY_PASSENGER,3.0683381101.7627694,1
Thursday,19,CANCELLED_BY_PASSENGER,3.0998674101.4608318,1
Thursday,19,CANCELLED_BY_PASSENGER,3.0701823101.6100486,2
Thursday,23,CANCELLED_BY_PASSENGER,3.0790646101.5844938,1
Thursday,17,CANCELLED_BY_PASSENGER,2.9710406101.7928833,1
Thursday,15,CANCELLED_BY_PASSENGER,3.0476454101.5651572,1
Thursday,23,CANCELLED_BY_PASSENGER,3.1281595101.5523155,1
Thursday,14,CANCELLED_BY_PASSENGER,3.1120902101.5912397,1
Thursday,8,CANCELLED_BY_PASSENGER,2.745312101.684867,3
Thursday,21,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,48
Thursday,15,CANCELLED_BY_PASSENGER,3.0915613101.6215955,1
Thursday,2,CANCELLED_BY_PASSENGER,2.7546143711118094101.70338577963552,7
Thursday,23,CANCELLED_BY_PASSENGER,3.04142768212507101.773217342793,1
Thursday,19,CANCELLED_BY_PASSENGER,3.07092101.48171,1
Thursday,18,CANCELLED_BY_PASSENGER,3.0742646101.7690067,2
Thursday,22,CANCELLED_BY_PASSENGER,2.7445151360287339101.68470903911668,35
Thursday,16,CANCELLED_BY_PASSENGER,2.925098101.6439092,1
Thursday,23,CANCELLED_BY_PASSENGER,3.0886311101.5472052,1
Thursday,21,CANCELLED_BY_PASSENGER,2.755162302889564101.7042388640315,17
Thursday,20,CANCELLED_BY_PASSENGER,2.755162302889564101.7042388640315,9
Thursday,16,NO_DRIVER_AVAILABLE,2.9726219101.6048458,1
Thursday,8,NO_TAKER,3.0916836101.6114078,1
Thursday,17,NO_TAKER,3.0900012101.6289259,1
Thursday,15,NO_TAKER,2.9806495101.7954156,1
Thursday,20,NO_TAKER,2.8072411101.7070236,1
Thursday,19,NO_TAKER,2.94971935475917101.657126910728,11
Thursday,23,NO_TAKER,3.058251101.6032546,1
Thursday,20,NO_TAKER,3.0379561101.5537271,1
Thursday,20,NO_TAKER,2.9198114101.6362799,1
Thursday,22,NO_TAKER,3.0796503101.5940275,1
Thursday,19,NO_TAKER,2.9275114101.6417665,1
Thursday,15,NO_TAKER,3.047224101.504152,1
Thursday,22,NO_TAKER,3.1617154101.7484882,1
Thursday,15,NO_TAKER,3.0701823101.6100486,3
Thursday,16,NO_TAKER,3.0646296101.6112043,1
Thursday,19,NO_TAKER,2.8255225101.7131182,4
Thursday,14,NO_TAKER,3.0808636101.6310983,1
Thursday,6,NO_TAKER,3.1123603101.5799761,2
Thursday,21,NO_TAKER,3.0802633101.6063556,1
Thursday,22,NO_TAKER,3.0116689101.6798429,1
